model,lead_h,scope,nmae,nrmse,bias,n,skill
наше решение,24,все часы,0.161,0.2193,0.041,4403,0.5811
кривая мощности,24,все часы,0.1796,0.2569,-0.0509,4403,0.5329
персистентность+климат,24,все часы,0.3309,0.3826,0.024,4403,0.1393
персистентность,24,все часы,0.3844,0.5034,0.0004,4400,0.0
климатология,24,все часы,0.3312,0.3691,0.0367,4403,0.1385
наше решение,24,без простоев,0.1608,0.2187,0.0396,4359,0.5799
кривая мощности,24,без простоев,0.1794,0.2564,-0.0534,4359,0.5313
персистентность+климат,24,без простоев,0.33,0.382,0.0201,4359,0.1379
персистентность,24,без простоев,0.3828,0.5017,-0.0049,4357,0.0
климатология,24,без простоев,0.331,0.3692,0.0335,4359,0.1354
наше решение,48,все часы,0.1623,0.2213,0.0417,4403,0.5774
кривая мощности,48,все часы,0.189,0.2662,-0.0625,4403,0.5078
персистентность+климат,48,все часы,0.3309,0.38,0.0217,4403,0.1383
персистентность,48,все часы,0.3841,0.4982,-0.0058,4400,0.0
климатология,48,все часы,0.3312,0.3691,0.0367,4403,0.1377
наше решение,48,без простоев,0.1616,0.22,0.0399,4359,0.5796
кривая мощности,48,без простоев,0.1895,0.2666,-0.0646,4359,0.5072
персистентность+климат,48,без простоев,0.3308,0.3802,0.0185,4359,0.1397
персистентность,48,без простоев,0.3845,0.4989,-0.0093,4356,0.0
климатология,48,без простоев,0.331,0.3692,0.0335,4359,0.1392
